Whirlpool,LintEater,GE,Napco,Dundas Jafine,LG,Frigidaire,Deflecto,Samsung,ERP,Supco,GARP,Certified Appliance,Napc,Edgewater Parts,DR Quality Parts,Lambro,Heartland Products Inc.,Maytag,Kenmore,Builder's Best,Ansoon,Electrolux,Broan,MagVent,Think Crucial,XPARTCO,Dryer Dock,Femitu,Wadoy
NA,0.004172007026783494,0.062376388670678705,0.09216016211116856,0.008625753448803498,0.037891172281394776,0.009223605477008769,0.0011088487458699066,0.03796775526625383,0.03624346169521687,0.0800351184072529,0.10082068802781649,0.023882824866177967,0.08836456511931995,0.05950129807717421,0.10325717391289146,0.0036084782683416822,0.004313526939496638,1.1773588082259283,1.089579917104529,0.03381988674903215,0.08613242093226416,0.015507655387361085,0.008545885361314575,0,0.08211618258621091,0,0,0.056516788522827065,0
0.004172007026783494,NA,0.10475132916077798,0.003371194828401903,0.07435939054121099,0.16448939534003423,0.4884385296252862,0.13519114468469606,0.005395150565986325,4.106371526441931,0.07564266428786565,0.007925265035190438,0.06862829672376095,0,0,70.47145669291338,0,0.12749245896501743,0.04446148687250056,0,0,0,0.028646933615005442,0.03157323328535546,0.18237954630671166,0,0,0,0,0
0.0623763886706787,0.10475132916077798,NA,0.2153595925696959,0.10106908466872289,0.004756883958314233,0.025731951263866158,0.005568225519393988,0,0,2.121692788086231,0.08617599224886674,0.026651256367450023,0,0,0.0157126993741167,0,0,0,0,152.33829787234043,0.3538840469874952,0.311494684177611,0.42914254204576785,0.29746774964166267,0.23563251017125555,0.19955128205128203,0.06679540821800237,0,0
0.09216016211116855,0.003371194828401903,0.2153595925696959,NA,3.989966103713016,0.0061236006179791426,0,43.69644199383539,0.07551971951837574,0,0,0.013866939051240217,0,0,0,0.18204452073370278,0.11663339202007947,0.2788440118580462,0.10372645387476594,0.20780482693178395,0.0437251141998681,0.05061774303925616,0,0.3314645753860968,0,264.2029520295203,0,0,0,0
0.008625753448803498,0.07435939054121099,0.1010690846687229,3.989966103713016,NA,0,0,0,0,0.05859247773372915,0,0,0.21621504638169434,0.19534360902358205,0.11543031442302576,0.40366526293800253,0.024501099656192755,0,0,0,0,4.572291420076603,0,0,222.35714285714283,0,0,0.09031576902554736,0,0
0.037891172281394776,0.16448939534003423,0.004756883958314232,0.0061236006179791426,0,NA,0,0.0074414456062222994,0,0,0.11241898183685832,0.1439583303174044,0.07123413874136672,0.004596988699211233,0,0.12599187728172834,0,0,0,0,0.22696409098978013,0,0,0,0,264.2029520295203,0.17778853794199442,0.08926621151899301,0,0
0.009223605477008769,0.48843852962528617,0.025731951263866154,0,0,0,NA,0,47.55204312004612,0.5262896481622659,0.09459655853970468,0.015574602080761096,1.945941225920269,0,0,0,0,0.15659131807115292,0.014562498601695863,0.012283959703931847,0,0.3411068022219893,0.6192613734647985,0.06204720506367727,0,0,0,0.09657556604053533,4.513727344365642,0
0.0011088487458699066,0.13519114468469606,0.005568225519393988,43.696441993835386,0,0.0074414456062222994,0,NA,0.11471516515609571,0.2575984460560036,0.014621482116207282,0.101107252852154,72.6274158826506,0,0,0.17206145687143137,0,0,0.126049168224515,0.05316336658750833,0.05313508820102561,0.30755531347884285,0.3045547738351468,0.6041973738987589,3.17985450196821,0,0.10405621439367516,0,0,0
0.03796775526625383,0.005395150565986325,0,0.07551971951837574,0,0,47.55204312004613,0.11471516515609571,NA,0,0.05776727959646248,0,0,0.03543292162276734,0,0,0.33598131742596343,0.08925057761262589,0.0415001108520538,0,0,0,0,0.088410854436163,0,0,1.0962945950084215,1.1008816016820968,0.29234522533557905,0
0.03624346169521687,4.106371526441931,0,0,0.05859247773372915,0,0.5262896481622659,0.2575984460560036,0,NA,1.9571671408991855,0,0,0.008375403949268674,0,0.15303247924628316,1.8089446525207635,0,0.04904763372688444,0.8481534001441152,0,0,0.0948054871428193,0,2.897161470451373,0.5737306232997184,0,299.5774058577406,5.528213294727952,0
